"YEAR","POWER_QUYU","POWER_HANGYE","SUM(*)"
2016.0,,,20
2016.0,,"交通",108
2016.0,,"人社",12
2016.0,,"住建",49
2016.0,,"公安",101
2016.0,,"卫生",83
2016.0,,"发改",1
2016.0,,"司法",5
2016.0,,"城管",21
2016.0,,"审计",6
2016.0,,"工信",11
2016.0,,"市监",5
2016.0,,"应急",42
2016.0,,"教育",17
2016.0,,"文体",4
2016.0,,"档案",5
2016.0,,"民宗",2
2016.0,,"民政",21
2016.0,,"气象",17
2016.0,,"水务",83
2016.0,,"生态",59
2016.0,,"科创",3
2016.0,,"规自",102
2016.0,,"财政",19
2016.0,,"金融",3
2016.0,"光明区",,3
2016.0,"光明区","事单",2
2016.0,"光明区","交通",1
2016.0,"光明区","人社",5
2016.0,"光明区","住建",106
2016.0,"光明区","公安",104
2016.0,"光明区","医疗",3
2016.0,"光明区","卫生",86
2016.0,"光明区","司法",6
2016.0,"光明区","城管",78
2016.0,"光明区","应急",53
2016.0,"光明区","教育",14
2016.0,"光明区","文体",75
2016.0,"光明区","档案",2
2016.0,"光明区","民宗",2
2016.0,"光明区","民政",9
2016.0,"光明区","气象",1
2016.0,"光明区","水务",84
2016.0,"光明区","生态",54
2016.0,"光明区","统计",4
2016.0,"光明区","规自",84
2016.0,"光明区","财政",2
2016.0,"光明区","退役",1
2016.0,"南山区",,2
2016.0,"南山区","交通",2
2016.0,"南山区","人社",29
2016.0,"南山区","住建",83
2016.0,"南山区","公安",106
2016.0,"南山区","卫生",82
2016.0,"南山区","司法",4
2016.0,"南山区","城管",73
2016.0,"南山区","审计",10
2016.0,"南山区","工信",1
2016.0,"南山区","市监",1
2016.0,"南山区","应急",57
2016.0,"南山区","教育",12
2016.0,"南山区","文体",71
2016.0,"南山区","档案",5
2016.0,"南山区","民宗",2
2016.0,"南山区","民政",6
2016.0,"南山区","水务",90
2016.0,"南山区","生态",58
2016.0,"南山区","统计",6
2016.0,"南山区","规自",98
2016.0,"南山区","财政",15
2016.0,"南山区","退役",1
2016.0,"坪山区",,5
2016.0,"坪山区","交通",4
2016.0,"坪山区","人社",31
2016.0,"坪山区","住建",93
2016.0,"坪山区","保密",2
2016.0,"坪山区","公安",104
2016.0,"坪山区","卫生",91
2016.0,"坪山区","司法",5
2016.0,"坪山区","商务",2
2016.0,"坪山区","城管",31
2016.0,"坪山区","审计",4
2016.0,"坪山区","应急",44
2016.0,"坪山区","教育",35
2016.0,"坪山区","文体",77
2016.0,"坪山区","档案",1
2016.0,"坪山区","民宗",3
2016.0,"坪山区","民政",21
2016.0,"坪山区","水务",101
2016.0,"坪山区","生态",54
2016.0,"坪山区","统计",9
2016.0,"坪山区","规自",91
2016.0,"坪山区","财政",16
2016.0,"坪山区","退役",3
2016.0,"大鹏新区",,5
2016.0,"大鹏新区","交通",1
2016.0,"大鹏新区","人社",14
2016.0,"大鹏新区","住建",112
2016.0,"大鹏新区","公安",105
2016.0,"大鹏新区","卫生",52
2016.0,"大鹏新区","司法",8
2016.0,"大鹏新区","城管",21
2016.0,"大鹏新区","应急",43
2016.0,"大鹏新区","教育",12
2016.0,"大鹏新区","文体",83
2016.0,"大鹏新区","档案",5
2016.0,"大鹏新区","民宗",2
2016.0,"大鹏新区","民政",9
2016.0,"大鹏新区","水务",88
2016.0,"大鹏新区","生态",8
2016.0,"大鹏新区","统计",4
2016.0,"大鹏新区","规自",86
2016.0,"大鹏新区","财政",12
2016.0,"宝安区",,49
2016.0,"宝安区","交通",3
2016.0,"宝安区","人社",35
2016.0,"宝安区","住建",56
2016.0,"宝安区","公安",106
2016.0,"宝安区","卫生",94
2016.0,"宝安区","发改",2
2016.0,"宝安区","司法",9
2016.0,"宝安区","城管",30
2016.0,"宝安区","审计",4
2016.0,"宝安区","应急",61
2016.0,"宝安区","教育",16
2016.0,"宝安区","文体",71
2016.0,"宝安区","档案",5
2016.0,"宝安区","民宗",2
2016.0,"宝安区","民政",19
2016.0,"宝安区","水务",91
2016.0,"宝安区","生态",54
2016.0,"宝安区","统计",5
2016.0,"宝安区","规自",87
2016.0,"宝安区","财政",14
2016.0,"宝安区","退役",2
2016.0,"盐田区",,33
2016.0,"盐田区","交通",1
2016.0,"盐田区","人社",35
2016.0,"盐田区","住建",69
2016.0,"盐田区","保密",2
2016.0,"盐田区","公安",106
2016.0,"盐田区","卫生",100
2016.0,"盐田区","司法",9
2016.0,"盐田区","城管",39
2016.0,"盐田区","审计",4
2016.0,"盐田区","应急",53
2016.0,"盐田区","教育",24
2016.0,"盐田区","文体",71
2016.0,"盐田区","档案",5
2016.0,"盐田区","民宗",4
2016.0,"盐田区","民政",14
2016.0,"盐田区","水务",94
2016.0,"盐田区","生态",54
2016.0,"盐田区","统计",4
2016.0,"盐田区","规自",80
2016.0,"盐田区","财政",12
2016.0,"盐田区","退役",4
2016.0,"盐田区","防空",5
2016.0,"福田区",,90
2016.0,"福田区","交通",1
2016.0,"福田区","人社",35
2016.0,"福田区","住建",38
2016.0,"福田区","公安",104
2016.0,"福田区","卫生",82
2016.0,"福田区","发改",1
2016.0,"福田区","司法",7
2016.0,"福田区","商务",1
2016.0,"福田区","城管",66
2016.0,"福田区","审计",4
2016.0,"福田区","应急",41
2016.0,"福田区","教育",27
2016.0,"福田区","文体",63
2016.0,"福田区","档案",5
2016.0,"福田区","民宗",2
2016.0,"福田区","民政",14
2016.0,"福田区","水务",83
2016.0,"福田区","生态",54
2016.0,"福田区","统计",6
2016.0,"福田区","规自",86
2016.0,"福田区","财政",17
2016.0,"福田区","退役",1
2016.0,"罗湖区",,22
2016.0,"罗湖区","事单",2
2016.0,"罗湖区","交通",2
2016.0,"罗湖区","人社",34
2016.0,"罗湖区","住建",88
2016.0,"罗湖区","公安",104
2016.0,"罗湖区","卫生",93
2016.0,"罗湖区","发改",2
2016.0,"罗湖区","司法",2
2016.0,"罗湖区","商务",1
2016.0,"罗湖区","城管",22
2016.0,"罗湖区","审计",4
2016.0,"罗湖区","应急",50
2016.0,"罗湖区","教育",13
2016.0,"罗湖区","文体",77
2016.0,"罗湖区","档案",5
2016.0,"罗湖区","民宗",2
2016.0,"罗湖区","民政",15
2016.0,"罗湖区","水务",91
2016.0,"罗湖区","生态",54
2016.0,"罗湖区","统计",5
2016.0,"罗湖区","规自",88
2016.0,"罗湖区","财政",8
2016.0,"罗湖区","退役",3
2016.0,"龙华区","事单",2
2016.0,"龙华区","交通",1
2016.0,"龙华区","人社",32
2016.0,"龙华区","住建",103
2016.0,"龙华区","保密",2
2016.0,"龙华区","公安",104
2016.0,"龙华区","卫生",89
2016.0,"龙华区","司法",7
2016.0,"龙华区","城管",34
2016.0,"龙华区","审计",5
2016.0,"龙华区","应急",55
2016.0,"龙华区","教育",24
2016.0,"龙华区","文体",78
2016.0,"龙华区","档案",5
2016.0,"龙华区","民宗",3
2016.0,"龙华区","民政",21
2016.0,"龙华区","气象",1
2016.0,"龙华区","水务",89
2016.0,"龙华区","生态",54
2016.0,"龙华区","统计",5
2016.0,"龙华区","规自",84
2016.0,"龙华区","财政",11
2016.0,"龙华区","退役",1
2016.0,"龙岗区",,1
2016.0,"龙岗区","交通",1
2016.0,"龙岗区","人社",34
2016.0,"龙岗区","住建",98
2016.0,"龙岗区","公安",106
2016.0,"龙岗区","卫生",82
2016.0,"龙岗区","司法",4
2016.0,"龙岗区","城管",22
2016.0,"龙岗区","审计",5
2016.0,"龙岗区","工信",2
2016.0,"龙岗区","应急",57
2016.0,"龙岗区","教育",14
2016.0,"龙岗区","文体",74
2016.0,"龙岗区","档案",5
2016.0,"龙岗区","民宗",3
2016.0,"龙岗区","民政",17
2016.0,"龙岗区","水务",91
2016.0,"龙岗区","生态",54
2016.0,"龙岗区","统计",4
2016.0,"龙岗区","规自",85
2016.0,"龙岗区","财政",12
2016.0,"龙岗区","退役",1
2017.0,,,20
2017.0,,"交通",108
2017.0,,"人社",12
2017.0,,"住建",49
2017.0,,"公安",101
2017.0,,"卫生",83
2017.0,,"发改",1
2017.0,,"司法",5
2017.0,,"城管",21
2017.0,,"审计",6
2017.0,,"工信",11
2017.0,,"市监",5
2017.0,,"应急",42
2017.0,,"教育",17
2017.0,,"文体",4
2017.0,,"档案",5
2017.0,,"民宗",2
2017.0,,"民政",21
2017.0,,"气象",17
2017.0,,"水务",83
2017.0,,"生态",59
2017.0,,"科创",3
2017.0,,"规自",102
2017.0,,"财政",19
2017.0,,"金融",3
2017.0,"光明区",,3
2017.0,"光明区","事单",2
2017.0,"光明区","交通",1
2017.0,"光明区","人社",5
2017.0,"光明区","住建",106
2017.0,"光明区","公安",104
2017.0,"光明区","医疗",3
2017.0,"光明区","卫生",86
2017.0,"光明区","司法",6
2017.0,"光明区","城管",78
2017.0,"光明区","应急",53
2017.0,"光明区","教育",14
2017.0,"光明区","文体",75
2017.0,"光明区","档案",2
2017.0,"光明区","民宗",2
2017.0,"光明区","民政",9
2017.0,"光明区","气象",1
2017.0,"光明区","水务",84
2017.0,"光明区","生态",54
2017.0,"光明区","统计",4
2017.0,"光明区","规自",84
2017.0,"光明区","财政",2
2017.0,"光明区","退役",1
2017.0,"南山区",,2
2017.0,"南山区","交通",2
2017.0,"南山区","人社",29
2017.0,"南山区","住建",83
2017.0,"南山区","公安",106
2017.0,"南山区","卫生",82
2017.0,"南山区","司法",4
2017.0,"南山区","城管",73
2017.0,"南山区","审计",10
2017.0,"南山区","工信",1
2017.0,"南山区","市监",1
2017.0,"南山区","应急",57
2017.0,"南山区","教育",12
2017.0,"南山区","文体",71
2017.0,"南山区","档案",5
2017.0,"南山区","民宗",2
2017.0,"南山区","民政",6
2017.0,"南山区","水务",90
2017.0,"南山区","生态",58
2017.0,"南山区","统计",6
2017.0,"南山区","规自",98
2017.0,"南山区","财政",15
2017.0,"南山区","退役",1
2017.0,"坪山区",,5
2017.0,"坪山区","交通",4
2017.0,"坪山区","人社",31
2017.0,"坪山区","住建",93
2017.0,"坪山区","保密",2
2017.0,"坪山区","公安",104
2017.0,"坪山区","卫生",91
2017.0,"坪山区","司法",5
2017.0,"坪山区","商务",2
2017.0,"坪山区","城管",31
2017.0,"坪山区","审计",4
2017.0,"坪山区","应急",44
2017.0,"坪山区","教育",35
2017.0,"坪山区","文体",77
2017.0,"坪山区","档案",1
2017.0,"坪山区","民宗",3
2017.0,"坪山区","民政",21
2017.0,"坪山区","水务",101
2017.0,"坪山区","生态",54
2017.0,"坪山区","统计",9
2017.0,"坪山区","规自",91
2017.0,"坪山区","财政",16
2017.0,"坪山区","退役",3
2017.0,"大鹏新区",,5
2017.0,"大鹏新区","交通",1
2017.0,"大鹏新区","人社",14
2017.0,"大鹏新区","住建",112
2017.0,"大鹏新区","公安",105
2017.0,"大鹏新区","卫生",52
2017.0,"大鹏新区","司法",8
2017.0,"大鹏新区","城管",21
2017.0,"大鹏新区","应急",43
2017.0,"大鹏新区","教育",12
2017.0,"大鹏新区","文体",83
2017.0,"大鹏新区","档案",5
2017.0,"大鹏新区","民宗",2
2017.0,"大鹏新区","民政",9
2017.0,"大鹏新区","水务",88
2017.0,"大鹏新区","生态",8
2017.0,"大鹏新区","统计",4
2017.0,"大鹏新区","规自",86
2017.0,"大鹏新区","财政",12
2017.0,"宝安区",,49
2017.0,"宝安区","交通",3
2017.0,"宝安区","人社",35
2017.0,"宝安区","住建",56
2017.0,"宝安区","公安",106
2017.0,"宝安区","卫生",94
2017.0,"宝安区","发改",2
2017.0,"宝安区","司法",9
2017.0,"宝安区","城管",30
2017.0,"宝安区","审计",4
2017.0,"宝安区","应急",61
2017.0,"宝安区","教育",16
2017.0,"宝安区","文体",71
2017.0,"宝安区","档案",5
2017.0,"宝安区","民宗",2
2017.0,"宝安区","民政",19
2017.0,"宝安区","水务",91
2017.0,"宝安区","生态",54
2017.0,"宝安区","统计",5
2017.0,"宝安区","规自",87
2017.0,"宝安区","财政",14
2017.0,"宝安区","退役",2
2017.0,"盐田区",,33
2017.0,"盐田区","交通",1
2017.0,"盐田区","人社",35
2017.0,"盐田区","住建",69
2017.0,"盐田区","保密",2
2017.0,"盐田区","公安",106
2017.0,"盐田区","卫生",100
2017.0,"盐田区","司法",9
2017.0,"盐田区","城管",39
2017.0,"盐田区","审计",4
2017.0,"盐田区","应急",53
2017.0,"盐田区","教育",24
2017.0,"盐田区","文体",71
2017.0,"盐田区","档案",5
2017.0,"盐田区","民宗",4
2017.0,"盐田区","民政",14
2017.0,"盐田区","水务",94
2017.0,"盐田区","生态",54
2017.0,"盐田区","统计",4
2017.0,"盐田区","规自",80
2017.0,"盐田区","财政",12
2017.0,"盐田区","退役",4
2017.0,"盐田区","防空",5
2017.0,"福田区",,90
2017.0,"福田区","交通",1
2017.0,"福田区","人社",35
2017.0,"福田区","住建",38
2017.0,"福田区","公安",104
2017.0,"福田区","卫生",82
2017.0,"福田区","发改",1
2017.0,"福田区","司法",7
2017.0,"福田区","商务",1
2017.0,"福田区","城管",66
2017.0,"福田区","审计",4
2017.0,"福田区","应急",41
2017.0,"福田区","教育",27
2017.0,"福田区","文体",63
2017.0,"福田区","档案",5
2017.0,"福田区","民宗",2
2017.0,"福田区","民政",14
2017.0,"福田区","水务",83
2017.0,"福田区","生态",54
2017.0,"福田区","统计",6
2017.0,"福田区","规自",86
2017.0,"福田区","财政",17
2017.0,"福田区","退役",1
2017.0,"罗湖区",,22
2017.0,"罗湖区","事单",2
2017.0,"罗湖区","交通",2
2017.0,"罗湖区","人社",34
2017.0,"罗湖区","住建",88
2017.0,"罗湖区","公安",104
2017.0,"罗湖区","卫生",93
2017.0,"罗湖区","发改",2
2017.0,"罗湖区","司法",2
2017.0,"罗湖区","商务",1
2017.0,"罗湖区","城管",22
2017.0,"罗湖区","审计",4
2017.0,"罗湖区","应急",50
2017.0,"罗湖区","教育",13
2017.0,"罗湖区","文体",77
2017.0,"罗湖区","档案",5
2017.0,"罗湖区","民宗",2
2017.0,"罗湖区","民政",15
2017.0,"罗湖区","水务",91
2017.0,"罗湖区","生态",54
2017.0,"罗湖区","统计",5
2017.0,"罗湖区","规自",88
2017.0,"罗湖区","财政",8
2017.0,"罗湖区","退役",3
2017.0,"龙华区","事单",2
2017.0,"龙华区","交通",1
2017.0,"龙华区","人社",32
2017.0,"龙华区","住建",103
2017.0,"龙华区","保密",2
2017.0,"龙华区","公安",104
2017.0,"龙华区","卫生",89
2017.0,"龙华区","司法",7
2017.0,"龙华区","城管",34
2017.0,"龙华区","审计",5
2017.0,"龙华区","应急",55
2017.0,"龙华区","教育",24
2017.0,"龙华区","文体",78
2017.0,"龙华区","档案",5
2017.0,"龙华区","民宗",3
2017.0,"龙华区","民政",21
2017.0,"龙华区","气象",1
2017.0,"龙华区","水务",89
2017.0,"龙华区","生态",54
2017.0,"龙华区","统计",5
2017.0,"龙华区","规自",84
2017.0,"龙华区","财政",11
2017.0,"龙华区","退役",1
2017.0,"龙岗区",,1
2017.0,"龙岗区","交通",1
2017.0,"龙岗区","人社",34
2017.0,"龙岗区","住建",98
2017.0,"龙岗区","公安",106
2017.0,"龙岗区","卫生",82
2017.0,"龙岗区","司法",4
2017.0,"龙岗区","城管",22
2017.0,"龙岗区","审计",5
2017.0,"龙岗区","工信",2
2017.0,"龙岗区","应急",57
2017.0,"龙岗区","教育",14
2017.0,"龙岗区","文体",74
2017.0,"龙岗区","档案",5
2017.0,"龙岗区","民宗",3
2017.0,"龙岗区","民政",17
2017.0,"龙岗区","水务",91
2017.0,"龙岗区","生态",54
2017.0,"龙岗区","统计",4
2017.0,"龙岗区","规自",85
