"PUNISH_HANGYE","PUNISH_QUYU","YEAR","MEAN(ALL_DAYS)"
,,2016.0,52.40000000000001
,,2017.0,70.57142857142861
,,2018.0,43.470588235294116
,,2019.0,51.84615384615386
,"南山区",2018.0,133.0
,"大鹏新区",2018.0,106.5
,"福田区",2018.0,154.0
"交通",,2016.0,1046.0
"交通",,2018.0,107.33333333333337
"交通",,2019.0,42.97560975609756
"人社",,2018.0,54.833333333333336
"人社",,2019.0,65.5
"人社","光明区",2017.0,41.0
"人社","光明区",2018.0,65.0
"人社","光明区",2019.0,85.2
"人社","南山区",2017.0,124.11111111111111
"人社","南山区",2018.0,101.14754098360659
"人社","南山区",2019.0,94.44444444444446
"人社","坪山区",2018.0,213.0
"人社","坪山区",2019.0,55.5
"人社","宝安区",2018.0,155.33333333333331
"人社","宝安区",2019.0,75.45454545454545
"人社","盐田区",2018.0,34.50000000000001
"人社","盐田区",2019.0,41.60000000000001
"人社","福田区",2017.0,405.0
"人社","福田区",2018.0,141.88888888888889
"人社","福田区",2019.0,70.93750000000003
"人社","罗湖区",2017.0,79.71428571428572
"人社","罗湖区",2018.0,88.49333333333331
"人社","罗湖区",2019.0,60.62857142857144
"人社","龙华区",2018.0,94.875
"人社","龙华区",2019.0,102.0
"人社","龙岗区",2018.0,83.27272727272725
"人社","龙岗区",2019.0,63.0
"住建",,2017.0,240.51999999999998
"住建",,2018.0,111.81182795698926
"住建",,2019.0,56.90243902439023
"住建","光明区",2017.0,315.0
"住建","光明区",2018.0,277.0816326530612
"住建","光明区",2019.0,120.92857142857143
"住建","南山区",2017.0,69.0
"住建","南山区",2018.0,102.31481481481477
"住建","南山区",2019.0,46.84210526315789
"住建","坪山区",2018.0,73.28
"住建","坪山区",2019.0,59.5
"住建","大鹏新区",2017.0,105.0
"住建","大鹏新区",2018.0,162.47058823529414
"住建","大鹏新区",2019.0,80.5
"住建","宝安区",2017.0,360.71999999999986
"住建","宝安区",2018.0,219.7894736842105
"住建","宝安区",2019.0,94.36363636363636
"住建","盐田区",2018.0,169.49999999999997
"住建","盐田区",2019.0,40.0
"住建","福田区",2018.0,218.49999999999997
"住建","福田区",2019.0,89.66666666666666
"住建","罗湖区",2017.0,113.0
"住建","罗湖区",2018.0,104.61764705882354
"住建","罗湖区",2019.0,110.66666666666669
"住建","龙华区",2018.0,56.30379746835445
"住建","龙华区",2019.0,87.00000000000003
"住建","龙岗区",2017.0,108.99999999999999
"住建","龙岗区",2018.0,2.923076923076925
"卫生",,2016.0,48.05714285714286
"卫生",,2017.0,51.919999999999995
"卫生",,2018.0,101.83333333333334
"卫生",,2019.0,59.0921052631579
"卫生","光明区",2016.0,78.56310679611651
"卫生","光明区",2017.0,139.5757575757577
"卫生","光明区",2018.0,88.2954545454545
"卫生","光明区",2019.0,58.24418604651163
"卫生","南山区",2016.0,57.73214285714287
"卫生","南山区",2017.0,71.82954545454547
"卫生","南山区",2018.0,78.04945054945053
"卫生","南山区",2019.0,58.93442622950818
"卫生","坪山区",2016.0,67.10769230769229
"卫生","坪山区",2017.0,64.27906976744185
"卫生","坪山区",2018.0,77.36607142857147
"卫生","坪山区",2019.0,52.698630136986296
"卫生","大鹏新区",2016.0,17.26666666666667
"卫生","大鹏新区",2017.0,14.375
"卫生","大鹏新区",2018.0,38.92105263157893
"卫生","大鹏新区",2019.0,34.999999999999986
"卫生","宝安区",2016.0,50.56097560975618
"卫生","宝安区",2017.0,47.12690355329948
"卫生","宝安区",2018.0,51.598603839441495
"卫生","宝安区",2019.0,48.41304347826088
"卫生","盐田区",2016.0,24.93333333333333
"卫生","盐田区",2017.0,52.54166666666667
"卫生","盐田区",2018.0,69.94999999999996
"卫生","盐田区",2019.0,37.93750000000001
"卫生","福田区",2016.0,106.85714285714289
"卫生","福田区",2017.0,91.21276595744689
"卫生","福田区",2018.0,95.73275862068972
"卫生","福田区",2019.0,77.4197530864198
"卫生","罗湖区",2016.0,117.76086956521733
"卫生","罗湖区",2017.0,96.5299145299146
"卫生","罗湖区",2018.0,82.88034188034194
"卫生","罗湖区",2019.0,50.14583333333334
"卫生","龙华区",2016.0,58.37174721189593
"卫生","龙华区",2017.0,92.19277108433735
"卫生","龙华区",2018.0,103.51203501094096
"卫生","龙华区",2019.0,70.14457831325298
"卫生","龙岗区",2016.0,139.9800995024876
"卫生","龙岗区",2017.0,152.58851674641141
"卫生","龙岗区",2018.0,88.08977556109713
"卫生","龙岗区",2019.0,61.44303797468353
"司法",,2017.0,51.0
"司法",,2018.0,100.14285714285714
"司法",,2019.0,70.0
"城管",,2018.0,53.099999999999994
"城管",,2019.0,30.938239159001476
"城管","南山区",2018.0,151.30769230769232
"城管","南山区",2019.0,21.083769633507842
"城管","坪山区",2017.0,798.0
"城管","坪山区",2018.0,123.73684210526315
"城管","坪山区",2019.0,27.780701754385962
"城管","宝安区",2018.0,113.50454545454544
"城管","宝安区",2019.0,21.568095238095285
"城管","盐田区",2019.0,0.0
"城管","福田区",2018.0,17.63636363636364
"城管","福田区",2019.0,5.2411732753938
"城管","罗湖区",2018.0,37.34999999999998
"城管","罗湖区",2019.0,16.7915057915058
"城管","龙华区",2018.0,20.533333333333335
"城管","龙华区",2019.0,11.338315217391298
"城管","龙岗区",2017.0,387.0
"城管","龙岗区",2018.0,137.19607843137254
"城管","龙岗区",2019.0,17.6026837806301
"工信","龙岗区",2018.0,7.833333333333333
"市监",,2016.0,100.61788617886182
"市监",,2017.0,66.45707070707073
"市监",,2018.0,43.94706675657457
"市监",,2019.0,48.333767926988294
"市监","光明区",2016.0,103.90756302521015
"市监","光明区",2017.0,96.08388520971307
"市监","光明区",2018.0,70.97281553398065
"市监","光明区",2019.0,56.575581395348856
"市监","南山区",2016.0,91.88030888030885
"市监","南山区",2017.0,64.31675519072913
"市监","南山区",2018.0,68.37254130605837
"市监","南山区",2019.0,64.08731466227349
"市监","坪山区",2016.0,102.01282051282048
"市监","坪山区",2017.0,73.39002267573687
"市监","坪山区",2018.0,67.0171428571428
"市监","坪山区",2019.0,67.19298245614036
"市监","大鹏新区",2016.0,99.79999999999998
"市监","大鹏新区",2017.0,76.90163934426234
"市监","大鹏新区",2018.0,61.25352112676057
"市监","大鹏新区",2019.0,67.97058823529413
"市监","宝安区",2016.0,75.88217522658607
"市监","宝安区",2017.0,50.86184929013472
"市监","宝安区",2018.0,41.037317900618596
"市监","宝安区",2019.0,45.13774597495522
"市监","盐田区",2016.0,73.66666666666667
"市监","盐田区",2017.0,84.16535433070868
"市监","盐田区",2018.0,63.062500000000014
"市监","盐田区",2019.0,54.01449275362317
"市监","福田区",2016.0,114.85236447520191
"市监","福田区",2017.0,76.82957198443583
"市监","福田区",2018.0,57.97926117952042
"市监","福田区",2019.0,48.14285714285715
"市监","罗湖区",2016.0,97.92758620689655
"市监","罗湖区",2017.0,101.18065371024716
"市监","罗湖区",2018.0,82.28717639975908
"市监","罗湖区",2019.0,57.11666666666672
"市监","龙华区",2016.0,120.24774774774782
"市监","龙华区",2017.0,77.45909955611909
"市监","龙华区",2018.0,71.05938494167542
"市监","龙华区",2019.0,64.87871853546919
"市监","龙岗区",2016.0,88.63003095975235
"市监","龙岗区",2017.0,67.58011049723733
"市监","龙岗区",2018.0,60.75030254134739
"市监","龙岗区",2019.0,40.81339712918669
"应急","光明区",2017.0,65.99392097264432
"应急","光明区",2018.0,46.52941176470589
"应急","光明区",2019.0,45.1715039577836
"应急","南山区",2017.0,58.62500000000004
"应急","南山区",2018.0,58.03459119496862
"应急","南山区",2019.0,63.65714285714289
"应急","坪山区",2017.0,47.09876543209875
"应急","坪山区",2018.0,36.46853146853146
"应急","坪山区",2019.0,36.93055555555553
"应急","大鹏新区",2017.0,61.526315789473706
"应急","大鹏新区",2018.0,68.51515151515152
"应急","大鹏新区",2019.0,48.999999999999986
"应急","宝安区",2017.0,58.83394833948344
"应急","宝安区",2018.0,54.7929984779301
"应急","宝安区",2019.0,46.5879120879121
"应急","盐田区",2017.0,51.285714285714285
"应急","盐田区",2018.0,35.73214285714285
"应急","盐田区",2019.0,67.85714285714283
"应急","福田区",2017.0,82.57819905213275
"应急","福田区",2018.0,72.41185897435906
"应急","福田区",2019.0,68.29696969696971
"应急","罗湖区",2017.0,51.94230769230772
"应急","罗湖区",2018.0,47.27865168539331
"应急","罗湖区",2019.0,35.10818713450299
"应急","龙华区",2017.0,80.21674876847298
"应急","龙华区",2018.0,55.82462057335579
"应急","龙华区",2019.0,43.25498007968131
"应急","龙岗区",2016.0,887.0
"应急","龙岗区",2017.0,44.0442176870748
"应急","龙岗区",2018.0,48.561340514661865
"应急","龙岗区",2019.0,42.72602739726027
"教育",,2018.0,32.0
"教育","龙华区",2017.0,16.0
"教育","龙华区",2018.0,56.0
"文体",,2017.0,141.0
"文体",,2018.0,-55.833333333333336
"文体","光明区",2018.0,84.66666666666666
"文体","光明区",2019.0,87.83333333333333
"文体","南山区",2018.0,37.35416666666664
"文体","南山区",2019.0,11.636363636363647
"文体","坪山区",2018.0,31.625
"文体","坪山区",2019.0,22.5
"文体","大鹏新区",2019.0,22.75
"文体","宝安区",2018.0,48.20689655172413
"文体","宝安区",2019.0,56.5
"文体","福田区",2018.0,59.3125
"文体","福田区",2019.0,25.281249999999996
"文体","罗湖区",2018.0,30.511111111111113
"文体","罗湖区",2019.0,23.94736842105263
"文体","龙华区",2017.0,14.0
"文体","龙华区",2018.0,41.61538461538463
"文体","龙华区",2019.0,46.0
"文体","龙岗区",2018.0,56.87619047619047
"文体","龙岗区",2019.0,93.0
"民政",,2017.0,407.3103448275861
"民政",,2018.0,144.0
"民政","南山区",2018.0,105.99999999999999
"民政","坪山区",2018.0,147.0
"民政","宝安区",2018.0,250.0
"民政","龙岗区",2017.0,348.0
"水务",,2018.0,163.66666666666666
"水务",,2019.0,-9.0
"水务","光明区",2018.0,143.27586206896555
"水务","光明区",2019.0,117.2
"水务","南山区",2017.0,181.5
"水务","南山区",2018.0,179.12195121951223
"水务","南山区",2019.0,87.33333333333333
"水务","坪山区",2017.0,123.85714285714286
"水务","坪山区",2018.0,83.9642857142857
"水务","坪山区",2019.0,97.00000000000001
"水务","大鹏新区",2018.0,114.14285714285717
"水务","大鹏新区",2019.0,31.0
"水务","宝安区",2018.0,268.14285714285717
"水务","宝安区",2019.0,149.11764705882354
"水务","盐田区",2018.0,96.15789473684208
"水务","盐田区",2019.0,53.5
"水务","福田区",2018.0,198.390243902439
"水务","福田区",2019.0,103.42857142857143
"水务","罗湖区",2017.0,259.0
"水务","罗湖区",2018.0,172.0
"水务","罗湖区",2019.0,90.85714285714286
"水务","龙华区",2017.0,238.47058823529414
"水务","龙华区",2018.0,180.55555555555554
"水务","龙岗区",2017.0,187.5
"水务","龙岗区",2018.0,162.37037037037035
"水务","龙岗区",2019.0,100.5
"生态",,2016.0,
"生态",,2017.0,
"生态",,2018.0,
"生态",,2019.0,
"生态","大鹏新区",2017.0,94.0
"生态","大鹏新区",2018.0,19.800000000000008
"生态","福田区",2017.0,290.3181818181818
"生态","福田区",2018.0,274.3235294117647
"生态","福田区",2019.0,-167.0
"生态","龙华区",2017.0,146.5
"生态","龙岗区",2018.0,
"生态","龙岗区",2019.0,176.66666666666666
"统计","福田区",2018.0,49.0
"规自",,2016.0,46.74999999999999
"规自",,2017.0,49.666666666666664
"规自",,2018.0,64.75
"规自",,2019.0,95.16666666666666
"规自","光明区",2018.0,59.0
"规自","光明区",2019.0,78.0
"规自","南山区",2018.0,140.97560975609755
"规自","南山区",2019.0,60.63636363636362
"规自","坪山区",2018.0,121.96226415094337
"规自","坪山区",2019.0,92.25000000000003
"规自","大鹏新区",2018.0,202.0
"规自","宝安区",2017.0,164.0
"规自","宝安区",2018.0,49.12499999999999
"规自","宝安区",2019.0,37.79999999999999
"规自","盐田区",2018.0,164.28571428571425
"规自","盐田区",2019.0,79.0
"规自","福田区",2017.0,705.0
"规自","福田区",2018.0,73.73913043478261
"规自","福田区",2019.0,39.18749999999999
"规自","罗湖区",2018.0,217.20000000000002
"规自","罗湖区",2019.0,68.0
"规自","龙华区",2016.0,144.0
"规自","龙华区",2017.0,470.0
"规自","龙华区",2018.0,108.55555555555554
"规自","龙华区",2019.0,86.42857142857142
"规自","龙岗区",2018.0,96.23076923076923
"规自","龙岗区",2019.0,27.272727272727266
"财政",,2017.0,234.86363636363635
"财政",,2018.0,311.67741935483866
"财政",,2019.0,139.0
"财政","坪山区",2018.0,46.0
"财政","宝安区",2017.0,217.0
"财政","宝安区",2018.0,214.60000000000002
"财政","福田区",2017.0,485.0
"财政","福田区",2018.0,312.75
"财政","罗湖区",2018.0,270.75
"财政","龙华区",2018.0,94.0
"财政","龙华区",2019.0,50.0
"财政","龙岗区",2017.0,325.8666666666667
"财政","龙岗区",2018.0,199.55555555555554
"财政","龙岗区",2019.0,-13.0
