"PUNISH_HANGYE","PUNISH_QUYU","YEAR","PUNISH_TYPE","SUM(*)"
,"南山区",2018.0,1.0,
,"南山区",2019.0,2.0,17150.0
,"坪山区",2019.0,2.0,150.0
,"大鹏新区",2018.0,1.0,297300.0
,"大鹏新区",2019.0,2.0,50.0
,"市级",2016.0,1.0,123700.0
,"市级",2017.0,1.0,112500.0
,"市级",2018.0,1.0,95100.0
,"市级",2019.0,1.0,230650.0
,"市级",2019.0,2.0,
,"福田区",2018.0,1.0,50000.0
,"福田区",2019.0,2.0,47800.0
,"罗湖区",2019.0,2.0,5350.0
,"龙华区",2019.0,2.0,1450.0
,"龙岗区",2019.0,2.0,75459.0
"交通","市级",2016.0,1.0,1000.0
"交通","市级",2018.0,1.0,299100.0
"交通","市级",2019.0,1.0,1948697.0
"人社","光明区",2017.0,1.0,44000.0
"人社","光明区",2018.0,1.0,401600.0
"人社","光明区",2019.0,1.0,191600.0
"人社","南山区",2017.0,1.0,212300.0
"人社","南山区",2018.0,1.0,2651700.0
"人社","南山区",2019.0,1.0,1117200.0
"人社","坪山区",2018.0,1.0,108400.0
"人社","坪山区",2019.0,1.0,17000.0
"人社","宝安区",2018.0,1.0,102500.0
"人社","宝安区",2019.0,1.0,161800.0
"人社","市级",2018.0,1.0,35000.0
"人社","市级",2019.0,1.0,18000.0
"人社","盐田区",2018.0,1.0,47900.0
"人社","盐田区",2019.0,1.0,44500.0
"人社","福田区",2017.0,1.0,30000.0
"人社","福田区",2018.0,1.0,508200.0
"人社","福田区",2019.0,1.0,210000.0
"人社","罗湖区",2017.0,1.0,105500.0
"人社","罗湖区",2018.0,1.0,1124500.0
"人社","罗湖区",2019.0,1.0,497600.0
"人社","龙华区",2018.0,1.0,85700.0
"人社","龙华区",2019.0,1.0,
"人社","龙岗区",2018.0,1.0,133500.0
"人社","龙岗区",2019.0,1.0,900.0
"住建","光明区",2017.0,1.0,5000.0
"住建","光明区",2018.0,1.0,6800421.12
"住建","光明区",2019.0,1.0,132805.6
"住建","南山区",2017.0,1.0,2581430.2199999997
"住建","南山区",2018.0,1.0,5833467.990000001
"住建","南山区",2019.0,1.0,1565721.6400000001
"住建","坪山区",2018.0,1.0,1344606.79
"住建","坪山区",2019.0,1.0,1581327.65
"住建","大鹏新区",2017.0,1.0,13000.0
"住建","大鹏新区",2018.0,1.0,506259.46
"住建","大鹏新区",2019.0,1.0,5000.0
"住建","宝安区",2017.0,1.0,1845445.4000000001
"住建","宝安区",2018.0,1.0,4535845.78
"住建","宝安区",2019.0,1.0,73500.0
"住建","市级",2017.0,1.0,1.2699123E7
"住建","市级",2018.0,1.0,8905577.0
"住建","市级",2019.0,1.0,2416400.0
"住建","盐田区",2018.0,1.0,160160.0
"住建","盐田区",2019.0,1.0,22000.0
"住建","福田区",2018.0,1.0,323773.95
"住建","福田区",2019.0,1.0,47925.0
"住建","罗湖区",2017.0,1.0,30000.0
"住建","罗湖区",2018.0,1.0,1196306.13
"住建","罗湖区",2019.0,1.0,291500.0
"住建","龙华区",2018.0,1.0,3278900.0
"住建","龙华区",2019.0,1.0,467174.0
"住建","龙岗区",2017.0,1.0,133686.97
"住建","龙岗区",2018.0,1.0,391697.91000000003
"卫生","光明区",2016.0,1.0,660630.0
"卫生","光明区",2016.0,2.0,
"卫生","光明区",2017.0,1.0,2067976.0
"卫生","光明区",2017.0,2.0,
"卫生","光明区",2018.0,1.0,1729760.0
"卫生","光明区",2018.0,2.0,500.0
"卫生","光明区",2019.0,1.0,1769110.0
"卫生","光明区",2019.0,2.0,
"卫生","南山区",2016.0,1.0,329850.0
"卫生","南山区",2016.0,2.0,32050.0
"卫生","南山区",2017.0,1.0,1163400.0
"卫生","南山区",2017.0,2.0,25900.0
"卫生","南山区",2018.0,1.0,1621070.0
"卫生","南山区",2018.0,2.0,45450.0
"卫生","南山区",2019.0,1.0,1112550.0
"卫生","南山区",2019.0,2.0,26050.0
"卫生","坪山区",2016.0,1.0,299746.0
"卫生","坪山区",2016.0,2.0,
"卫生","坪山区",2017.0,1.0,481500.0
"卫生","坪山区",2017.0,2.0,
"卫生","坪山区",2018.0,1.0,481500.0
"卫生","坪山区",2018.0,2.0,
"卫生","坪山区",2019.0,1.0,655900.0
"卫生","坪山区",2019.0,2.0,
"卫生","大鹏新区",2016.0,1.0,83400.0
"卫生","大鹏新区",2016.0,2.0,
"卫生","大鹏新区",2017.0,1.0,33000.0
"卫生","大鹏新区",2017.0,2.0,500.0
"卫生","大鹏新区",2018.0,1.0,189600.0
"卫生","大鹏新区",2018.0,2.0,1000.0
"卫生","大鹏新区",2019.0,1.0,195100.0
"卫生","大鹏新区",2019.0,2.0,
"卫生","宝安区",2016.0,1.0,1252760.0
"卫生","宝安区",2016.0,2.0,45300.0
"卫生","宝安区",2017.0,1.0,3284107.0
"卫生","宝安区",2017.0,2.0,59900.0
"卫生","宝安区",2018.0,1.0,5017700.0
"卫生","宝安区",2018.0,2.0,53050.0
"卫生","宝安区",2019.0,1.0,3932183.8
"卫生","宝安区",2019.0,2.0,43950.0
"卫生","市级",2016.0,1.0,262879.04000000004
"卫生","市级",2016.0,2.0,9200.0
"卫生","市级",2017.0,1.0,911125.0
"卫生","市级",2017.0,2.0,1000.0
"卫生","市级",2018.0,1.0,3353375.64
"卫生","市级",2018.0,2.0,7500.0
"卫生","市级",2019.0,1.0,1088099.0
"卫生","市级",2019.0,2.0,3000.0
"卫生","盐田区",2016.0,1.0,40500.0
"卫生","盐田区",2016.0,2.0,
"卫生","盐田区",2017.0,1.0,132500.0
"卫生","盐田区",2017.0,2.0,
"卫生","盐田区",2018.0,1.0,404600.0
"卫生","盐田区",2018.0,2.0,
"卫生","盐田区",2019.0,1.0,62900.0
"卫生","盐田区",2019.0,2.0,
"卫生","福田区",2016.0,1.0,622490.0
"卫生","福田区",2016.0,2.0,8700.0
"卫生","福田区",2017.0,1.0,1054550.0
"卫生","福田区",2017.0,2.0,10300.0
"卫生","福田区",2018.0,1.0,1881990.0
"卫生","福田区",2018.0,2.0,9600.0
"卫生","福田区",2019.0,1.0,1984250.0
"卫生","福田区",2019.0,2.0,27450.0
"卫生","罗湖区",2016.0,1.0,1614600.0
"卫生","罗湖区",2016.0,2.0,15000.0
"卫生","罗湖区",2017.0,1.0,1871899.0
"卫生","罗湖区",2017.0,2.0,
"卫生","罗湖区",2018.0,1.0,1931040.0
"卫生","罗湖区",2018.0,2.0,
"卫生","罗湖区",2019.0,1.0,755100.0
"卫生","罗湖区",2019.0,2.0,
"卫生","龙华区",2016.0,1.0,1437091.0
"卫生","龙华区",2016.0,2.0,
"卫生","龙华区",2017.0,1.0,3907301.4
"卫生","龙华区",2017.0,2.0,
"卫生","龙华区",2018.0,1.0,6808725.0
"卫生","龙华区",2018.0,2.0,
"卫生","龙华区",2019.0,1.0,2100572.5
"卫生","龙华区",2019.0,2.0,
"卫生","龙岗区",2016.0,1.0,2545579.0
"卫生","龙岗区",2016.0,2.0,
"卫生","龙岗区",2017.0,1.0,3995500.0
"卫生","龙岗区",2017.0,2.0,
"卫生","龙岗区",2018.0,1.0,5426538.0
"卫生","龙岗区",2018.0,2.0,1000.0
"卫生","龙岗区",2019.0,1.0,2160340.0
"卫生","龙岗区",2019.0,2.0,2500.0
"司法","市级",2017.0,1.0,
"司法","市级",2018.0,1.0,5000.0
"司法","市级",2019.0,1.0,1000.0
"城管","南山区",2018.0,1.0,356610.0
"城管","南山区",2019.0,1.0,201600.0
"城管","坪山区",2017.0,1.0,5000.0
"城管","坪山区",2018.0,1.0,290929.0
"城管","坪山区",2019.0,1.0,1331843.6500000001
"城管","宝安区",2018.0,1.0,153290.0
"城管","宝安区",2019.0,1.0,3151637.05
"城管","市级",2018.0,1.0,20000.0
"城管","市级",2019.0,1.0,800452.2
"城管","盐田区",2019.0,1.0,1000.0
"城管","福田区",2018.0,1.0,8700.0
"城管","福田区",2019.0,1.0,1152614.2
"城管","罗湖区",2018.0,1.0,18485.0
"城管","罗湖区",2019.0,1.0,180456.7
"城管","龙华区",2018.0,1.0,35940.0
"城管","龙华区",2019.0,1.0,1660040.0
"城管","龙岗区",2017.0,1.0,500.0
"城管","龙岗区",2018.0,1.0,138700.0
"城管","龙岗区",2019.0,1.0,1745905.4
"工信","龙岗区",2018.0,1.0,274492.4
"市监","光明区",2016.0,1.0,819418.7
"市监","光明区",2017.0,1.0,3579102.09
"市监","光明区",2018.0,1.0,3.7285224379999995E7
"市监","光明区",2019.0,1.0,1434137.5
"市监","南山区",2016.0,1.0,1056497.6199999999
"市监","南山区",2017.0,1.0,1.058279122E7
"市监","南山区",2018.0,1.0,2.112122422000001E7
"市监","南山区",2019.0,1.0,3691614.6100000003
"市监","坪山区",2016.0,1.0,157231.40000000002
"市监","坪山区",2017.0,1.0,2669943.8
"市监","坪山区",2018.0,1.0,2683535.51
"市监","坪山区",2019.0,1.0,416162.15
"市监","大鹏新区",2016.0,1.0,206463.0
"市监","大鹏新区",2017.0,1.0,1190738.0999999999
"市监","大鹏新区",2018.0,1.0,1878966.65
"市监","大鹏新区",2019.0,1.0,354575.4
"市监","宝安区",2016.0,1.0,2496526.65
"市监","宝安区",2017.0,1.0,1.6693011760000002E7
"市监","宝安区",2018.0,1.0,2.1694615639999993E7
"市监","宝安区",2019.0,1.0,6730269.47
"市监","市级",2016.0,1.0,1.1277949549999999E7
"市监","市级",2017.0,1.0,3.0288429650000002E7
"市监","市级",2018.0,1.0,1.0643957377999999E8
"市监","市级",2019.0,1.0,5767603.46
"市监","盐田区",2016.0,1.0,174017.0
"市监","盐田区",2017.0,1.0,1147851.95
"市监","盐田区",2018.0,1.0,392002.94000000006
"市监","盐田区",2019.0,1.0,453846.0
"市监","福田区",2016.0,1.0,5117887.619999999
"市监","福田区",2017.0,1.0,9357837.209999997
"市监","福田区",2018.0,1.0,9037723.61
"市监","福田区",2019.0,1.0,3251559.17
"市监","罗湖区",2016.0,1.0,650906.07
"市监","罗湖区",2017.0,1.0,5059725.75
"市监","罗湖区",2018.0,1.0,5279230.09
"市监","罗湖区",2019.0,1.0,2824964.0399999996
"市监","龙华区",2016.0,1.0,722570.57
"市监","龙华区",2017.0,1.0,4959549.920000002
"市监","龙华区",2018.0,1.0,3140156.5100000002
"市监","龙华区",2019.0,1.0,2389002.19
"市监","龙岗区",2016.0,1.0,7456902.19
"市监","龙岗区",2017.0,1.0,2.4345882169999994E7
"市监","龙岗区",2018.0,1.0,1.9525016910000004E7
"市监","龙岗区",2019.0,1.0,4193480.030000001
"应急","光明区",2017.0,1.0,
"应急","光明区",2018.0,1.0,
"应急","光明区",2019.0,1.0,
"应急","南山区",2017.0,1.0,
"应急","南山区",2018.0,1.0,
"应急","南山区",2019.0,1.0,
"应急","坪山区",2017.0,1.0,
"应急","坪山区",2018.0,1.0,
"应急","坪山区",2019.0,1.0,
"应急","大鹏新区",2017.0,1.0,
"应急","大鹏新区",2018.0,1.0,
"应急","大鹏新区",2019.0,1.0,
"应急","宝安区",2017.0,1.0,
"应急","宝安区",2018.0,1.0,
"应急","宝安区",2019.0,1.0,
"应急","盐田区",2017.0,1.0,
"应急","盐田区",2018.0,1.0,
"应急","盐田区",2019.0,1.0,
"应急","福田区",2017.0,1.0,
"应急","福田区",2018.0,1.0,
"应急","福田区",2019.0,1.0,
"应急","罗湖区",2017.0,1.0,
"应急","罗湖区",2018.0,1.0,
"应急","罗湖区",2019.0,1.0,
"应急","龙华区",2017.0,1.0,
"应急","龙华区",2018.0,1.0,
"应急","龙华区",2019.0,1.0,
"应急","龙岗区",2016.0,1.0,
"应急","龙岗区",2017.0,1.0,
"应急","龙岗区",2018.0,1.0,
"应急","龙岗区",2019.0,1.0,
"教育","市级",2018.0,1.0,
"教育","龙华区",2017.0,1.0,
"教育","龙华区",2018.0,1.0,
"文体","光明区",2018.0,1.0,89000.0
"文体","光明区",2019.0,1.0,23000.0
"文体","南山区",2018.0,1.0,608000.0
"文体","南山区",2019.0,1.0,135000.0
"文体","坪山区",2018.0,1.0,55000.0
"文体","坪山区",2019.0,1.0,15000.0
"文体","大鹏新区",2019.0,1.0,11000.0
"文体","宝安区",2018.0,1.0,262000.0
"文体","宝安区",2018.0,2.0,
"文体","宝安区",2019.0,1.0,20000.0
"文体","宝安区",2019.0,2.0,
"文体","市级",2017.0,1.0,15000.0
"文体","市级",2018.0,1.0,70000.0
"文体","福田区",2018.0,1.0,217900.0
"文体","福田区",2019.0,1.0,74700.0
"文体","罗湖区",2018.0,1.0,86100.0
"文体","罗湖区",2018.0,2.0,
"文体","罗湖区",2019.0,1.0,95900.0
"文体","罗湖区",2019.0,2.0,
"文体","龙华区",2017.0,1.0,
"文体","龙华区",2018.0,1.0,11000.0
"文体","龙华区",2019.0,1.0,10000.0
"文体","龙岗区",2018.0,1.0,381000.0
"文体","龙岗区",2018.0,2.0,
"文体","龙岗区",2019.0,1.0,200000.0
"民政","南山区",2018.0,1.0,
"民政","坪山区",2018.0,1.0,
"民政","宝安区",2018.0,1.0,
"民政","市级",2017.0,1.0,
"民政","市级",2018.0,1.0,
"民政","龙岗区",2017.0,1.0,
"水务","光明区",2018.0,1.0,975000.0
"水务","光明区",2019.0,1.0,30000.0
"水务","南山区",2017.0,1.0,140000.0
"水务","南山区",2018.0,1.0,1206640.0
"水务","南山区",2019.0,1.0,50000.0
"水务","坪山区",2017.0,1.0,180000.0
"水务","坪山区",2018.0,1.0,575000.0
"水务","坪山区",2019.0,1.0,300000.0
"水务","大鹏新区",2018.0,1.0,685000.0
"水务","大鹏新区",2019.0,1.0,
"水务","宝安区",2018.0,1.0,180000.0
"水务","宝安区",2019.0,1.0,420000.0
"水务","市级",2018.0,1.0,
"水务","市级",2019.0,1.0,
"水务","盐田区",2018.0,1.0,345000.0
"水务","盐田区",2019.0,1.0,50000.0
"水务","福田区",2018.0,1.0,736810.0
"水务","福田区",2019.0,1.0,
"水务","罗湖区",2017.0,1.0,210000.0
"水务","罗湖区",2018.0,1.0,1168000.0
"水务","罗湖区",2019.0,1.0,345000.0
"水务","龙华区",2017.0,1.0,960000.0
"水务","龙华区",2018.0,1.0,2040000.0
"水务","龙岗区",2017.0,1.0,900000.0
"水务","龙岗区",2018.0,1.0,3775210.0
"水务","龙岗区",2019.0,1.0,945000.0
"生态","大鹏新区",2017.0,1.0,
"生态","大鹏新区",2018.0,1.0,384000.0
"生态","市级",2016.0,1.0,1722.48
"生态","市级",2017.0,1.0,2001.0
"生态","市级",2018.0,1.0,1354.87
"生态","市级",2019.0,1.0,28.0
"生态","福田区",2017.0,1.0,840000.0
"生态","福田区",2018.0,1.0,1160005.0
"生态","福田区",2019.0,1.0,3.0
"生态","龙华区",2017.0,1.0,90000.0
"生态","龙岗区",2018.0,1.0,
"生态","龙岗区",2019.0,1.0,110000.0
"统计","光明区",2018.0,2.0,
"统计","光明区",2019.0,2.0,
"统计","南山区",2018.0,2.0,
"统计","南山区",2019.0,2.0,
"统计","坪山区",2018.0,2.0,
"统计","坪山区",2019.0,2.0,
"统计","大鹏新区",2018.0,2.0,
"统计","大鹏新区",2019.0,2.0,
"统计","福田区",2018.0,1.0,
"统计","龙华区",2018.0,2.0,
"统计","龙华区",2019.0,2.0,
"规自","光明区",2018.0,1.0,135381.98
"规自","光明区",2019.0,1.0,1116465.91
"规自","南山区",2018.0,1.0,2.9060010561E8
"规自","南山区",2019.0,1.0,21437.0
"规自","坪山区",2018.0,1.0,4245607.28
"规自","坪山区",2019.0,1.0,1614407.1
"规自","大鹏新区",2018.0,1.0,38940.52
"规自","宝安区",2017.0,1.0,21084.0
"规自","宝安区",2018.0,1.0,
"规自","宝安区",2019.0,1.0,
"规自","市级",2016.0,1.0,1533000.0
"规自","市级",2017.0,1.0,3.11465553E7
"规自","市级",2018.0,1.0,2100000.0
"规自","市级",2019.0,1.0,1.364118995E7
"规自","盐田区",2018.0,1.0,
"规自","盐田区",2019.0,1.0,
"规自","福田区",2017.0,1.0,
"规自","福田区",2018.0,1.0,
"规自","福田区",2019.0,1.0,1900.0
"规自","罗湖区",2018.0,1.0,65670.0
"规自","罗湖区",2019.0,1.0,1.072114202E7
"规自","龙华区",2016.0,1.0,
"规自","龙华区",2017.0,1.0,
"规自","龙华区",2018.0,1.0,970126.65
"规自","龙华区",2019.0,1.0,315387.1
"规自","龙岗区",2018.0,1.0,7123980.510000001
"规自","龙岗区",2019.0,1.0,133192.4
"财政","坪山区",2018.0,1.0,59376.0
"财政","宝安区",2017.0,1.0,214910.0
"财政","宝安区",2018.0,1.0,601134.9
"财政","市级",2017.0,1.0,414942.47
"财政","市级",2018.0,1.0,933840.54
"财政","市级",2019.0,1.0,9488.5
"财政","福田区",2017.0,1.0,32800.0
"财政","福田区",2018.0,1.0,
"财政","罗湖区",2018.0,1.0,498997.41
"财政","龙华区",2018.0,1.0,443010.36
"财政","龙华区",2019.0,1.0,
"财政","龙岗区",2017.0,1.0,535007.5
"财政","龙岗区",2018.0,1.0,393096.11999999994
"财政","龙岗区",2019.0,1.0,14390.78
